Station Code,English Station Name,Thai Station Name,Line(s),First Opened,Has Transfer To,Plus Code,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
N5,Ari,อารีย์,BTS,5 December 1999,,7P52QGHV+VR,13.779694400000002,100.544625,8,10,0,90,22,17,67,20,53,7
E4,Asok,อโศก,BTS,5 December 1999,MRT : Sukhumvit,7P52PHP6+M8,13.7367125,100.5608218,16,16,1,54,28,39,0,16,91,79
A3,Ban Thap Chang,บ้านทับช้าง,ARL,23 August 2010,,7P52PMMQ+6F,13.7330995,100.68865699999999,1,1,0,4,1,3,3,3,3,4
E10,Bang Chak,บางจาก,BTS,12 August 2011,,7P52MJW4+P4,13.696771400000001,100.6053226,8,15,0,27,5,5,42,9,20,4
BL37,Bang Khae,บางแค,MRT,21 September 2019,,7P52PC65+8Q,13.710825,100.40949559999999,5,6,0,43,7,5,25,2,62,11
BL04,Bang Khun Non,บางขุนนนท์,MRT,23 December 2019,MRT (planned) SRT : Charansanitwong (planned),7P52PGQ8+4V,13.737847199999997,100.5171723,9,4,0,39,12,5,0,3,0,42
PP10,Bang Krasor,บางกระสอ,MRT,12 August 2016,,,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
E13,Bang Na,บางนา,BTS,12 August 2011,,7P52MJ93+6V,13.6681228,100.6046478,2,2,0,7,1,6,18,2,4,4
BL08,Bang O,บางอ้อ,MRT,4 December 2019,,,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
BL33,Bang Phai,บางไผ่,MRT,24 August 2019,,7P52PFC4+3R,13.7201422,100.4570328,3,31,0,4,2,4,8,4,12,11
BL07,Bang Phlat,บางพลัด,MRT,4 December 2019,,,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
PP04,Bang Phlu,บางพลู,MRT,12 August 2016,,7P52VCGM+7H,13.875723,100.43391,0,3,0,10,2,1,5,0,7,4
PP06,Bang Rak Noi Tha It,บางรักน้อย-ท่าอิฐ,MRT,12 August 2016,,7P52VFF4+W9,13.874803699999998,100.4559902,1,3,0,12,1,2,4,0,12,3
PP05,Bang Rak Yai,บางรักใหญ่,MRT,12 August 2016,,,13.731849800000003,100.5311153,10,79,2,93,35,19,90,8,69,48
PP15,Bang Son,บางซ่อน,MRT,12 August 2016,,7P52RGCM+32,13.8202164,100.5325217,3,2,0,6,4,9,20,8,9,6
BL11,Bang Sue,บางซื่อ,MRT,3 July 2004,ARL SRT SRT (under construction),,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
S12,Bang Wa BTS,บางหว้า,BTS,5 December 2013,MRT,7P52RH24+R2,13.802038,100.5550772,4,17,0,30,11,14,36,5,26,25
BL34,Bang Wa MRT,บางหว้า,MRT,24 August 2019,BTS,7P52PFC4+3R,13.7201422,100.4570328,3,31,0,4,2,4,8,4,12,11
BL05,Bang Yi Khan,บางยี่ขัน,MRT,23 December 2019,,7P52QFGP+X4,13.777385999999998,100.485312,8,4,0,13,5,3,17,8,15,6
E14,Bearing,แบริ่ง,BTS,12 August 2011,,7P52MJ62+FQ,13.661207199999998,100.60190659999999,4,4,0,13,8,4,14,5,13,11
E17,Chang Erawan,ช้างเอราวัณ,BTS,6 December 2018,,7P52JHHQ+CJ,13.6285267,100.58911309999999,2,2,0,4,0,5,8,1,10,6
BL02,Charan 13,จรัญฯ 13,MRT,23 December 2019,,7P52PFRC+38,13.740184,100.47079699999999,2,3,0,8,3,2,13,0,11,5
BL13,Chatuchak Park,สวนจตุจักร,MRT,3 July 2004,BTS : Mo Chit,7P52RH22+5G,13.8004427,100.5513715,5,18,0,53,12,18,49,2,60,24
E1,Chit Lom,ชิดลม,BTS,5 December 1999,,7P52PGVX+6M,13.743024499999999,100.5491533,5,18,0,61,37,43,106,14,61,57
S3,Chong Nonsi,ช่องนนทรี,BTS,5 December 1999,MRL (planned),7P52PGFH+FQ,13.7237337,100.52946920000001,5,31,1,110,35,57,111,24,72,58
E7,Ekkamai,เอกมัย,BTS,5 December 1999,,7P52PH9P+R2,13.719524800000002,100.58510030000001,7,15,0,68,14,17,51,17,60,12
BL03,Fai Chai,ไฟฉาย,MRT,23 December 2019,,7P52QF39+76,13.753179600000001,100.4680787,3,4,0,7,3,5,13,2,15,4
N9,Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,BTS,9 August 2019,MRT : Phahon Yothin,7P52RH86+JR,13.816553,100.562007,10,44,1,94,30,21,55,3,102,29
BL28,Hua Lamphong,หัวลำโพง,MRT,3 July 2004,SRT (planned),7P52PGQ8+4V,13.737847199999997,100.5171723,9,4,0,39,12,5,39,3,34,42
A4,Hua Mak,หัวหมาก,ARL,23 August 2010,SRT MRL (under construction),7P52PJQW+63,13.7380459,100.64518129999999,3,6,0,21,1,5,18,5,17,8
BL18,Huai Khwang,ห้วยขวาง,MRT,3 July 2004,,,13.7758639,100.5735263,8,4,1,43,17,14,35,13,29,38
BL32,Itsaraphap,อิสรภาพ,MRT,29 July 2019,MRL (planned),7P52PFQP+84,13.7383191,100.48528809999999,9,4,0,16,3,4,15,1,8,4
BL12,Kamphaeng Phet,กำแพงเพชร,MRT,3 July 2004,,7P52QGXX+62,13.7980646,100.5475927,1,4,0,30,6,11,34,5,55,5
N13,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,BTS,4 December 2019,,7P52RHX9+2R,13.8475687,100.5696191,5,102,0,41,2,14,27,0,21,10
E23,Kheha,เคหะฯ,BTS,6 December 2018,,,13.775637900000001,100.543198,3,4,1,42,21,13,50,11,15,11
