Station Code,English Station Name,Thai Station Name,Line(s),First Opened,Has Transfer To,Plus Code,Latitude,Longitude
N5,Ari,อารีย์,BTS,5 December 1999,,7P52QGHV+VR,13.7796944,100.544625
E4,Asok,อโศก,BTS,5 December 1999,MRT : Sukhumvit,7P52PHP6+M8,13.7367125,100.5608218
A3,Ban Thap Chang,บ้านทับช้าง,ARL,23 August 2010,,7P52PMMQ+6F,13.7330995,100.688657
E10,Bang Chak,บางจาก,BTS,12 August 2011,,7P52MJW4+P4,13.6967714,100.6053226
BL37,Bang Khae,บางแค,MRT,21 September 2019,,7P52PC65+8Q,13.710825,100.4094956
BL04,Bang Khun Non,บางขุนนนท์,MRT,23 December 2019,MRT (planned) SRT : Charansanitwong (planned),7P52PGQ8+4V,13.7378472,100.5171723
PP10,Bang Krasor,บางกระสอ,MRT,12 August 2016,,Not Available,13.7601366,100.5659859
E13,Bang Na,บางนา,BTS,12 August 2011,,7P52MJ93+6V,13.6681228,100.6046478
BL08,Bang O,บางอ้อ,MRT,4 December 2019,,Not Available,13.7601366,100.5659859
BL33,Bang Phai,บางไผ่,MRT,24 August 2019,,7P52PFC4+3R,13.7201422,100.4570328
BL07,Bang Phlat,บางพลัด,MRT,4 December 2019,,Not Available,13.7601366,100.5659859
PP04,Bang Phlu,บางพลู,MRT,12 August 2016,,7P52VCGM+7H,13.875723,100.43391
BL09,Bang Pho,บางโพ,MRT,4 December 2019,,Not Available,Not Available,Not Available
PP06,Bang Rak Noi Tha It,บางรักน้อย-ท่าอิฐ,MRT,12 August 2016,,7P52VFF4+W9,13.8748037,100.4559902
PP05,Bang Rak Yai,บางรักใหญ่,MRT,12 August 2016,,Not Available,13.7318498,100.5311153
PP15,Bang Son,บางซ่อน,MRT,12 August 2016,,7P52RGCM+32,13.8202164,100.5325217
BL11,Bang Sue,บางซื่อ,MRT,3 July 2004,ARL SRT SRT (under construction),Not Available,13.7601366,100.5659859
S12,Bang Wa BTS,บางหว้า,BTS,5 December 2013,MRT,7P52RH24+R2,13.802038,100.5550772
BL34,Bang Wa MRT,บางหว้า,MRT,24 August 2019,BTS,7P52PFC4+3R,13.7201422,100.4570328
